{'n_estimators': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.9368
{'n_estimators': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.93885
{'n_estimators': 10, 'criterion': 'gini', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.9381
{'n_estimators': 10, 'criterion': 'gini', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.93625
{'n_estimators': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.93655
{'n_estimators': 10, 'criterion': 'entropy', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.9388
{'n_estimators': 10, 'criterion': 'entropy', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.9366
{'n_estimators': 10, 'criterion': 'entropy', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.9362
{'n_estimators': 10, 'criterion': 'log_loss', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.9383
{'n_estimators': 10, 'criterion': 'log_loss', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.93735
{'n_estimators': 10, 'criterion': 'log_loss', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.9353
{'n_estimators': 10, 'criterion': 'log_loss', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.93745
{'n_estimators': 15, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.943
{'n_estimators': 15, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.94125
{'n_estimators': 15, 'criterion': 'gini', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.94015
{'n_estimators': 15, 'criterion': 'gini', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.93905
{'n_estimators': 15, 'criterion': 'entropy', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.94015
{'n_estimators': 15, 'criterion': 'entropy', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.94125
{'n_estimators': 15, 'criterion': 'entropy', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.94025
{'n_estimators': 15, 'criterion': 'entropy', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.94115
{'n_estimators': 15, 'criterion': 'log_loss', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.93905
{'n_estimators': 15, 'criterion': 'log_loss', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.9417
{'n_estimators': 15, 'criterion': 'log_loss', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.94065
{'n_estimators': 15, 'criterion': 'log_loss', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.9423
{'n_estimators': 20, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.94105
{'n_estimators': 20, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.94205
{'n_estimators': 20, 'criterion': 'gini', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.94225
{'n_estimators': 20, 'criterion': 'gini', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.94225
{'n_estimators': 20, 'criterion': 'entropy', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.94105
{'n_estimators': 20, 'criterion': 'entropy', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.94185
{'n_estimators': 20, 'criterion': 'entropy', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.94115
{'n_estimators': 20, 'criterion': 'entropy', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.94155
{'n_estimators': 20, 'criterion': 'log_loss', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.94195
{'n_estimators': 20, 'criterion': 'log_loss', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.94135
{'n_estimators': 20, 'criterion': 'log_loss', 'max_features': 'log2', 'warm_start': True} 	 Accuracy:0.9413
{'n_estimators': 20, 'criterion': 'log_loss', 'max_features': 'log2', 'warm_start': False} 	 Accuracy:0.94295
{'n_estimators': 25, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': True} 	 Accuracy:0.9426
{'n_estimators': 25, 'criterion': 'gini', 'max_features': 'sqrt', 'warm_start': False} 	 Accuracy:0.9436
